name,latitude,longitude,keyword_1,count_1,keyword_2,count_2,keyword_3,count_3
Helsinki,60.1699,24.9384,modern,7.0,architectur,6.0,photograph,5.0
Copenhagen,55.6761,12.5683,design,23.0,paint,15.0,sculptur,10.0
Plovdiv,42.1354,24.7453,paint,24.0,contemporary,8.0,portrait,5.0
Sofia,42.6977,23.3219,contemporary,37.0,paint,15.0,modern,12.0
Aarhus,56.1629,10.2039,arte,9.0,contemporary,8.0,modern,8.0
Zagreb,45.815,15.9819,paint,14.0,contemporary,13.0,modern,12.0
Oslo,59.9139,10.7522,sculptur,15.0,design,8.0,contemporary,5.0
Bratislava,48.1486,17.1077,design,4.0,contemporary,3.0,architectur,3.0
Kosice,48.7164,21.2611,street art,52.0,mural,24.0,festival,7.0
Bergen,60.3913,5.3221,craft,13.0,draw,11.0,contemporary,10.0
Graz,47.0679,15.4417,modern,12.0,contemporary,8.0,folk,7.0
Linz,48.3069,14.2859,modern,16.0,festival,15.0,electronic,8.0
Budapest,47.4979,19.0402,contemporary,17.0,street art,17.0,photograph,14.0
Vienna,48.2081,16.3713,contemporary,26.0,paint,15.0,design,15.0
Debrecen,47.5289,21.6254,architectur,16.0,contemporary,15.0,garden,13.0
Dublin,53.3498,-6.2603,modern,12.0,paint,7.0,decorativ,6.0
Tbilisi,41.6938,44.8015,print,13.0,paint,9.0,fine art,7.0
Sarajevo,43.8563,18.4131,contemporary,7.0,design,4.0,fine art,3.0
Yerevan,40.1872,44.5152,architectur,17.0,modern,13.0,contemporary,11.0
Cork,51.8985,-8.4756,paint,5.0,contemporary,4.0,photograph,4.0
Tirana,41.3275,19.8187,paint,8.0,contemporary,5.0,street art,5.0
Chisinau,47.0105,28.8638,paint,13.0,festival,3.0,craft,1.0
Ljubljana,46.0569,14.5058,architectur,10.0,design,9.0,photograph,7.0
Vilnius,54.6872,25.2797,contemporary,17.0,paint,7.0,modern,3.0
Riga,56.9677,24.1056,contemporary,19.0,design,7.0,paint,6.0
Skopje,41.9981,21.4254,contemporary,12.0,sculptur,5.0,draw,2.0
Pristina,42.6629,21.1655,contemporary,9.0,paint,2.0,fair,2.0
Reykjavík,64.147,-21.9408,photograph,24.0,contemporary,23.0,sculptur,20.0
Tallinn,59.437,24.7536,design,14.0,contemporary,7.0,architectur,4.0
Omsk,54.9914,73.3645,paint,21.0,architectur,11.0,fine art,8.0
Samara,53.2038,50.1606,design,6.0,garden,6.0,paint,4.0
Kazan,55.7879,49.1233,folk,5.0,paint,4.0,modern,3.0
Rostov,47.2357,39.7015,paint,15.0,fine art,12.0,visual art,4.0
Chelyabinsk,55.1644,61.4368,paint,7.0,portrait,5.0,contemporary,3.0
Orenburg,51.7682,55.097,fine art,2.0,craft,1.0,portrait,1.0
Irkutsk,52.2855,104.289,paint,17.0,craft,11.0,modern,10.0
Vladivostok,43.1332,131.9113,contemporary,8.0,paint,7.0,print,2.0
Ryazan,54.6095,39.7126,paint,10.0,draw,5.0,folk,3.0
Barnaul,53.3497,83.7836,festival,6.0,folk,3.0,modern,2.0
Khabarovsk,48.4814,135.0721,paint,6.0,visual art,0.0,fine art,0.0
Yaroslavl,57.6261,39.8845,paint,27.0,architectur,6.0,fine art,2.0
Ulyanovsk,54.3187,48.3978,paint,45.0,draw,7.0,portrait,7.0
Voronezh,51.6683,39.1919,clay,10.0,craft,6.0,folk,6.0
Izhevsk,56.8619,53.2324,paint,11.0,modern,3.0,fine art,2.0
Krasnodar,45.036,38.9746,paint,7.0,print,3.0,sculptur,3.0
Tolyatti,53.5085,49.4182,paint,8.0,fine art,7.0,contemporary,5.0
Konya,37.8746,32.4932,garden,17.0,architectur,16.0,wood,9.0
Kayseri,38.7205,35.4826,festival,11.0,modern,6.0,architectur,5.0
Diyarbakir,37.925,40.211,garden,15.0,paint,11.0,architectur,9.0
Gaziantep,37.066,37.3781,festival,31.0,craft,9.0,modern,9.0
Antalya,36.8969,30.7133,modern,8.0,glass,1.0,sculptur,1.0
Krasnoyarsk,56.0153,92.8932,paint,6.0,wood,4.0,sculptur,4.0
Saratov,51.5462,46.0154,paint,14.0,fine art,7.0,portrait,5.0
Perm,58.0092,56.227,contemporary,3.0,20th century,3.0,design,3.0
Volgograd,48.708,44.5133,paint,26.0,portrait,23.0,draw,12.0
Ufa,54.7348,55.9579,paint,60.0,portrait,19.0,draw,15.0
Taraz,42.8984,71.398,architectur,7.0,modern,5.0,interactiv,5.0
Astana,51.1655,71.4272,fine art,3.0,paint,2.0,contemporary,2.0
Almaty,43.238,76.8829,contemporary,12.0,paint,5.0,sculptur,4.0
Karagandy,49.8047,73.1094,fine art,5.0,paint,5.0,print,2.0
Shymkent,42.3205,69.5876,sculptur,4.0,craft,3.0,modern,3.0
Naberezhnye Chelny,55.7306,52.3893,design,50.0,architectur,44.0,modern,6.0
Tyumen,57.1553,65.5619,paint,8.0,portrait,7.0,fine art,4.0
Tomsk,56.4884,84.948,arte,1.0,visual art,0.0,fine art,0.0
Astrakhan,46.3586,48.0569,draw,3.0,paint,3.0,design,3.0
Lipetsk,52.6122,39.5981,paint,18.0,contemporary,5.0,portrait,3.0
Penza,53.2273,45,print,2.0,paint,1.0,modern,1.0
Yekaterinburg,56.8431,60.6454,modern,22.0,architectur,22.0,photograph,20.0
Moscow,55.7558,37.6173,modern,10.0,design,10.0,photograph,10.0
Novosibirsk,54.9833,82.8964,architectur,13.0,paint,9.0,wood,7.0
Petersburg,59.9311,30.3609,paint,9.0,contemporary,7.0,design,6.0
Novgorod,58.5256,31.2742,paint,29.0,street art,10.0,portrait,9.0
Mersin,36.8121,34.6415,festival,22.0,modern,8.0,architectur,7.0
Uskudar,41.0322,29.0319,craft,4.0,immers,4.0,design,3.0
Eskisehir,39.7667,30.5256,architectur,24.0,glass,16.0,modern,15.0
Sanliurfa,37.1674,38.7955,sculptur,6.0,architectur,5.0,glass,4.0
Malatya,38.3554,38.3335,festival,52.0,modern,21.0,architectur,10.0
Muratpasa,36.8916,30.765,festival,3.0,contemporary,1.0,modern,1.0
Baku,40.4093,49.8671,contemporary,23.0,architectur,19.0,design,16.0
Sumqayit,40.5855,49.6317,modern,2.0,photograph,2.0,festival,2.0
Izmir,38.4237,27.1428,paint,10.0,sculptur,8.0,photograph,7.0
Istanbul,41.0082,28.9784,contemporary,17.0,modern,17.0,design,13.0
Ankara,39.9334,32.8597,contemporary,9.0,architectur,7.0,folk,5.0
Bursa,40.1885,29.061,photograph,5.0,glass,3.0,design,1.0
Adana,36.9914,35.3308,architectur,10.0,festival,6.0,modern,4.0
南京,32.0584,118.7965,艺术,33.0,当代,5.0,绘画,4.0
成都,30.5723,104.0665,艺术,77.0,当代,16.0,现代,3.0
武汉,30.5928,114.3052,艺术,60.0,当代,12.0,油画,2.0
东莞,23.0207,113.7518,艺术,20.0,绘画,7.0,当代,2.0
重庆,29.5657,106.5512,艺术,54.0,当代,29.0,油画,18.0
济南,36.6518,117.1201,艺术,70.0,绘画,9.0,沉浸式,5.0
汕头,23.3535,116.6822,艺术,26.0,民族,4.0,当代,2.0
泰安,36.1999,117.0884,visual art,0.0,fine art,0.0,illustrat,0.0
郑州,34.7472,113.6249,visual art,0.0,fine art,0.0,illustrat,0.0
苏州,31.2983,120.5832,visual art,0.0,fine art,0.0,illustrat,0.0
青岛,36.0662,120.383,摄影,28.0,艺术,27.0,当代,5.0
昆明,24.8797,102.8332,当代,1.0,visual art,0.0,fine art,0.0
杭州,30.2741,120.1552,艺术,11.0,油画,1.0,工艺,1.0
沈阳,41.8048,123.433,建筑,1.0,visual art,0.0,fine art,0.0
石家庄,38.0428,114.5143,艺术,14.0,20世纪,4.0,绘画,1.0
兰州,36.0614,103.8342,艺术,95.0,油画,26.0,设计,17.0
乌鲁木齐,43.8266,87.6169,艺术,27.0,当代,7.0,设计,2.0
长沙,28.2278,112.9389,艺术,64.0,雕塑,40.0,设计,18.0
